Month,Credit,Debit
2024-09,44086.45,42783.65
2024-10,27026.12,19449.72
2024-11,29888.55,28195.75
2024-12,31073.16,28616.28
2025-01,11887.76,16422.93
2025-02,13190.1,12544.369999999999
2025-03,11527.16,11554.89
2025-04,14304.16,14880.22
2025-05,15329.9,12965.71
2025-06,15417.2,18783.21
2025-07,18172.77,17882.22
2025-08,17457.46,16738.25
2025-09,11352.0,11331.6
